ID,Congressional District,Call Date,Disposition,Q1
15906,1,9/30/2020,Wrong Number,
141,1,9/28/2020,Left Message Recording,
96186,11,9/30/2020,C,4 - Refused
138357,13,10/1/2020,D,
123689,2,10/1/2020,Left Message,
95201,11,9/30/2020,Left Message,
147686,4,10/2/2020,Left Message,
57979,8,9/29/2020,Left Message,
52564,14,9/28/2020,Left Message,
62582,8,9/29/2020,Left Message,
35866,10,9/28/2020,D,
103442,13,9/30/2020,Left Message,
84,1,9/28/2020,Left Message Recording,
102422,13,9/30/2020,Left Message,
81632,14,9/29/2020,D,
132007,10,10/1/2020,D,
97023,12,9/30/2020,Left Message,
17079,1,9/30/2020,Wrong Number,
106456,14,9/30/2020,Left Message,
25042,1,10/01/2020,Wrong Number,
78787,13,9/29/2020,Left Message,
11804,1,9/29/2020,Wrong Number,
91264,10,9/30/2020,C,4 - Refused
32602,9,9/28/2020,Left Message,
88536,9,9/30/2020,Left Message,
61180,8,9/29/2020,Left Message,
148158,5,10/2/2020,Left Message,
62418,8,9/29/2020,Left Message,
6760,1,9/28/2020,Left Message Recording,
139,1,9/28/2020,Wrong Number,
133262,11,10/1/2020,D,
60188,8,9/29/2020,Left Message,
129376,8,10/1/2020,Left Message,
35361,10,9/28/2020,Left Message,
1144,1,9/28/2020,Wrong Number,
137914,13,10/1/2020,D,
85035,15,9/29/2020,Left Message,
61550,8,9/29/2020,Left Message,
37472,11,9/28/2020,D,
96656,11,9/30/2020,Left Message,
51091,13,9/28/2020,D,
96021,11,9/30/2020,Left Message,
64042,9,9/29/2020,Left Message,
141779,2,10/2/2020,Left Message,
24688,1,10/01/2020,Wrong Number,
81289,14,9/29/2020,D,
65890,9,9/29/2020,Left Message,
102771,13,9/30/2020,Left Message,
85714,8,9/30/2020,Left Message,
97804,12,9/30/2020,D,
62607,8,9/29/2020,Left Message,
108189,14,9/30/2020,Left Message,
81690,14,9/29/2020,D,
78971,13,9/29/2020,D,
147931,4,10/2/2020,Left Message,
158404,7,10/2/2020,C,2
50217,13,9/28/2020,Left Message,
51247,13,9/28/2020,D,
9862,1,9/28/2020,Left Message Recording,
13776,1,9/29/2020,Answered,1
29953,8,9/28/2020,D,
25441,1,10/01/2020,Left Message Recording,
106036,14,9/30/2020,C,4 - Refused
75079,12,9/29/2020,C,4
145952,3,10/2/2020,Left Message,
53233,14,9/28/2020,Left Message,
119176,2,10/1/2020,Left Message,
141797,2,10/2/2020,Left Message,
2868,1,9/28/2020,Wrong Number,
6124,1,9/28/2020,Wrong Number,
139736,15,10/1/2020,D,
31475,8,9/28/2020,Left Message,
103368,13,9/30/2020,Left Message,
17668,1,9/30/2020,Wrong Number,
93476,11,9/30/2020,Left Message,
107717,14,9/30/2020,Left Message,
79179,13,9/29/2020,Left Message,
130808,9,10/1/2020,D,
33132,9,9/28/2020,C,1
12422,1,9/29/2020,Wrong Number,
141348,2,10/2/2020,C,3 - Undecided
5656,1,9/28/2020,Left Message Recording,
107386,14,9/30/2020,Left Message,
22623,1,10/01/2020,Wrong Number,
19030,1,9/30/2020,Wrong Number,
113172,1,10/1/2020,C,1
63628,9,9/29/2020,Left Message,
66810,10,9/29/2020,Left Message,
33183,9,9/28/2020,Left Message,
148,1,9/28/2020,Left Message Recording,
18555,1,9/30/2020,Wrong Number,
69716,11,9/29/2020,Left Message,
139794,15,10/1/2020,Left Message,
118598,2,10/1/2020,Left Message,
139212,15,10/1/2020,D,
66263,10,9/29/2020,Left Message,
164617,8,10/2/2020,D,
161914,7,10/2/2020,Left Message,
47144,12,9/28/2020,Left Message,
93119,11,9/30/2020,Left Message,
128357,2,10/1/2020,Left Message,
47677,12,9/28/2020,Left Message,
96006,11,9/30/2020,Left Message,
160574,7,10/2/2020,Left Message,
129815,8,10/1/2020,Left Message,
62979,9,9/29/2020,D,
99256,12,9/30/2020,Left Message,
47748,12,9/28/2020,Left Message,
85519,8,9/30/2020,C,4 - Refused
118437,2,10/1/2020,Left Message,
131451,9,10/1/2020,Left Message,
151216,6,10/2/2020,D,
65916,9,9/29/2020,Left Message,
3779,1,9/28/2020,Left Message Recording,
130911,9,10/1/2020,D,
135237,11,10/1/2020,Left Message,
153696,6,10/2/2020,Left Message,
70200,11,9/29/2020,Left Message,
106753,14,9/30/2020,C,4 - Refused
148009,5,10/2/2020,Left Message,
85974,8,9/30/2020,Left Message,
66639,10,9/29/2020,Left Message,
150028,6,10/2/2020,Left Message,
9997,1,9/28/2020,Left Message Recording,
69116,11,9/29/2020,C,4 - Refused
2010,1,9/28/2020,Left Message Recording,
234,1,9/28/2020,Left Message Recording,
65425,9,9/29/2020,Left Message,
130026,8,10/1/2020,D,
70961,11,9/29/2020,Left Message,
47876,12,9/28/2020,D,
35465,10,9/28/2020,Left Message,
66240,10,9/29/2020,Left Message,
100972,12,9/30/2020,D,
149119,6,10/2/2020,D,
141939,2,10/2/2020,Left Message,
118366,2,10/1/2020,Left Message,
65966,10,9/29/2020,Left Message,
72258,11,9/29/2020,Left Message,
32256,9,9/28/2020,D,
35741,10,9/28/2020,Left Message,
2006,1,9/28/2020,Wrong Number,
10280,1,9/29/2020,Wrong Number,
8311,1,9/28/2020,Left Message Recording,
17106,1,9/30/2020,Wrong Number,
22120,1,10/01/2020,Wrong Number,
70897,11,9/29/2020,D,
147369,4,10/2/2020,D,
60746,8,9/29/2020,Left Message,
160742,7,10/2/2020,Left Message,
28744,8,9/28/2020,C,4
143576,3,10/2/2020,Left Message,
104274,13,9/30/2020,Left Message,
138490,14,10/1/2020,Left Message,
3035,1,9/28/2020,Left Message Recording,
73341,11,9/29/2020,Left Message,
138021,13,10/1/2020,D,
55828,15,9/28/2020,Left Message,
109704,15,9/30/2020,D,
