,ID,Congressional District,Call Date,Disposition,Q1
192,151363,6,10/02/2020,Bad Number,None
193,56087,15,09/28/2020,Answered,Refused
194,108497,15,09/30/2020,Bad Number,None
195,85136,15,09/29/2020,Left Message,None
196,56232,15,09/28/2020,Bad Number,None
197,142085,2,10/02/2020,Left Message,None
198,14661,1,09/29/2020,Left Message,None
199,152340,6,10/02/2020,Left Message,None
200,43489,12,09/28/2020,Bad Number,None
201,124742,2,10/01/2020,Left Message,None
202,58034,8,09/29/2020,Left Message,None
203,149933,6,10/02/2020,Left Message,None
204,109418,15,09/30/2020,Left Message,None
205,116220,2,10/01/2020,Left Message,None
206,15872,1,09/30/2020,Wrong Number,None
207,72383,11,09/29/2020,Answered,No
208,913,1,09/28/2020,Wrong Number,None
209,86595,8,09/30/2020,Answered,Yes
210,33266,9,09/28/2020,Left Message,None
211,44690,12,09/28/2020,Bad Number,None
212,84998,15,09/29/2020,Answered,Refused
213,36705,10,09/28/2020,Answered,No
214,13795,1,09/29/2020,Left Message,None
215,39706,11,09/28/2020,Left Message,None
216,65113,9,09/29/2020,Left Message,None
217,15379,1,09/29/2020,Wrong Number,None
218,162378,7,10/02/2020,Answered,Yes
219,41188,11,09/28/2020,Bad Number,None
220,20029,1,09/30/2020,Wrong Number,None
221,120695,2,10/01/2020,Left Message,None
222,101700,12,09/30/2020,Left Message,None
223,89785,9,09/30/2020,Left Message,None
224,148000,5,10/02/2020,Left Message,None
225,144231,3,10/02/2020,Answered,Refused
226,21198,1,09/30/2020,Wrong Number,None
227,24130,1,10/01/2020,Wrong Number,None
228,149076,6,10/02/2020,Answered,Refused
229,162263,7,10/02/2020,Left Message,None
230,17088,1,09/30/2020,Wrong Number,None
231,30364,8,09/28/2020,Left Message,None
232,51465,13,09/28/2020,Left Message,None
233,131545,9,10/01/2020,Bad Number,None
234,83615,15,09/29/2020,Left Message,None
235,157486,7,10/02/2020,Answered,No
236,36903,10,09/28/2020,Bad Number,None
237,145377,3,10/02/2020,Left Message,None
238,159771,7,10/02/2020,Left Message,None
239,37415,11,09/28/2020,Left Message,None
240,86159,8,09/30/2020,Left Message,None
241,45260,12,09/28/2020,Left Message,None
242,73873,12,09/29/2020,Bad Number,None
243,32663,9,09/28/2020,Bad Number,None
244,28642,8,09/28/2020,Left Message,None
245,137091,12,10/01/2020,Bad Number,None
246,1963,1,09/28/2020,Wrong Number,None
247,5233,1,09/28/2020,Left Message,None
