,ID,Congressional District,Call Date,Disposition,Q1
66,126624,2,10/01/2020,Left Message,Undecided
67,43060,12,09/28/2020,Left Message,Undecided
68,23169,1,10/01/2020,Wrong Number,Undecided
69,36296,10,09/28/2020,Answered,Yes
70,22455,1,10/01/2020,Wrong Number,Undecided
71,79668,13,09/29/2020,Answered,No
72,81536,14,09/29/2020,Left Message,Undecided
73,155952,6,10/02/2020,Answered,No
74,47741,12,09/28/2020,Bad Number,Undecided
75,126926,2,10/01/2020,Left Message,Undecided
76,156270,6,10/02/2020,Left Message,Undecided
77,113486,1,10/01/2020,Answered,Refused
78,87364,8,09/30/2020,Left Message,Undecided
79,90808,10,09/30/2020,Left Message,Undecided
80,4065,1,09/28/2020,Wrong Number,Undecided
81,140176,15,10/01/2020,Answered,Yes
82,133379,11,10/01/2020,Bad Number,Undecided
83,163095,8,10/02/2020,Left Message,Undecided
84,4848,1,09/28/2020,Wrong Number,Undecided
85,129955,8,10/01/2020,Bad Number,Undecided
86,43945,12,09/28/2020,Left Message,Undecided
87,94449,11,09/30/2020,Left Message,Undecided
88,35054,10,09/28/2020,Bad Number,Undecided
89,161416,7,10/02/2020,Left Message,Undecided
90,41049,11,09/28/2020,Bad Number,Undecided
91,138368,13,10/01/2020,Bad Number,Undecided
92,82606,14,09/29/2020,Left Message,Undecided
93,53398,14,09/28/2020,Bad Number,Undecided
94,34563,9,09/28/2020,Left Message,Undecided
95,2889,1,09/28/2020,Wrong Number,Undecided
96,84157,15,09/29/2020,Left Message,Undecided
97,41144,11,09/28/2020,Left Message,Undecided
98,151138,6,10/02/2020,Left Message,Undecided
99,133342,11,10/01/2020,Bad Number,Undecided
100,114783,1,10/01/2020,Answered,No
101,85020,15,09/29/2020,Answered,Refused
102,108387,14,09/30/2020,Bad Number,Undecided
103,43141,12,09/28/2020,Answered,No
104,69655,11,09/29/2020,Left Message,Undecided
105,151988,6,10/02/2020,Answered,Refused
106,135159,11,10/01/2020,Left Message,Undecided
107,56210,15,09/28/2020,Bad Number,Undecided
108,97207,12,09/30/2020,Answered,Refused
109,76939,12,09/29/2020,Left Message,Undecided
110,157766,7,10/02/2020,Bad Number,Undecided
111,113097,1,10/01/2020,Answered,No
112,26036,1,10/01/2020,Wrong Number,Undecided
113,35990,10,09/28/2020,Bad Number,Undecided
114,121661,2,10/01/2020,Left Message,Undecided
115,30701,8,09/28/2020,Left Message,Undecided
116,130198,8,10/01/2020,Bad Number,Undecided
117,24928,1,10/01/2020,Wrong Number,Undecided
118,96486,11,09/30/2020,Left Message,Undecided
119,23624,1,10/01/2020,Wrong Number,Undecided
120,68743,11,09/29/2020,Left Message,Undecided
121,145983,3,10/02/2020,Bad Number,Undecided
122,26587,1,10/01/2020,Wrong Number,Undecided
123,24560,1,10/01/2020,Wrong Number,Undecided
124,154765,6,10/02/2020,Left Message,Undecided
125,115947,2,10/01/2020,Left Message,Undecided
126,124158,2,10/01/2020,Left Message,Undecided
127,158004,7,10/02/2020,Left Message,Undecided
128,150353,6,10/02/2020,Left Message,Undecided
129,100193,12,09/30/2020,Left Message,Undecided
130,159513,7,10/02/2020,Left Message,Undecided
131,14810,1,09/29/2020,Wrong Number,Undecided
132,15215,1,09/29/2020,Wrong Number,Undecided
133,22658,1,10/01/2020,Wrong Number,Undecided
134,131576,9,10/01/2020,Bad Number,Undecided
135,30853,8,09/28/2020,Answered,Refused
136,62486,8,09/29/2020,Bad Number,Undecided
137,149718,6,10/02/2020,Left Message,Undecided
138,143807,3,10/02/2020,Left Message,Undecided
139,1631,1,09/28/2020,Wrong Number,Undecided
140,156964,6,10/02/2020,Left Message,Undecided
141,161850,7,10/02/2020,Left Message,Undecided
